Name,GivenName,Surname,SamAccountName,UserPrincipalName,Email,Office,Department,Title,StreetAddress,Phone,Manager
Petteri Liukkonen,Petteri,Liukkonen,petteriliukkonen,petteri.liukkonen@example.com,petteri.liukkonen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Lautamiehenpolku 31, Oulu",+358 789138935,Ari Hämäläinen
Siiri Lehtinen-Nurmi,Siiri,Lehtinen-Nurmi,siirilehtinennurmi,siiri.lehtinennurmi@example.com,siiri.lehtinennurmi@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Gustav Pauligin bulevardi 75, Oulu",+358 43 1612613,Ari Hämäläinen
Juhani Simola,Juhani,Simola,juhanisimola,juhani.simola@example.com,juhani.simola@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Porinkatu 12, Oulu",+358 189324495,Ari Hämäläinen
Kristiina Kari,Kristiina,Kari,kristiinakari,kristiina.kari@example.com,kristiina.kari@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Sadekuja 2, Oulu",0249617812,Ari Hämäläinen
Kyllikki Pesonen,Kyllikki,Pesonen,kyllikkipesonen,kyllikki.pesonen@example.com,kyllikki.pesonen@example.com,Oulu,Tuotekehitys,Tuotekehitysinsinööri,"Runonlaulajankuja 730, Oulu",0300017369,Ari Hämäläinen
Olavi Haapanen,Olavi,Haapanen,olavihaapanen,olavi.haapanen@example.com,olavi.haapanen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistopäällikkö,"Bysantinkuja 9, Oulu",0447456849,Jenni Järvenpää
Juuso Seppälä,Juuso,Seppälä,juusoseppala,juuso.seppala@example.com,juuso.seppala@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Porinpolku 6, Oulu",0179892308,Olavi Haapanen
Antti Viitanen-Parkkinen,Antti,Viitanen-Parkkinen,anttiviitanenparkkinen,antti.viitanenparkkinen@example.com,antti.viitanenparkkinen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Jäkäläpolku 12, Oulu",+358 21 5199658,Olavi Haapanen
Jenni Luoma-Mikkonen,Jenni,Luoma-Mikkonen,jenniluomamikkonen,jenni.luomamikkonen@example.com,jenni.luomamikkonen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Laajasalonpolku 122, Oulu",+358 60 8146713,Olavi Haapanen
Matilda Partanen,Matilda,Partanen,matildapartanen,matilda.partanen@example.com,matilda.partanen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Fahlanderin puistopolku 185, Oulu",054 262 9926,Olavi Haapanen
Ville Nykänen,Ville,Nykänen,villenykanen,ville.nykanen@example.com,ville.nykanen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Lepolantie 543, Oulu",+358031741620,Olavi Haapanen
Sini Manninen,Sini,Manninen,sinimanninen,sini.manninen@example.com,sini.manninen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Agnes Sjöbergin tie 590, Oulu",(+358) 096243010,Olavi Haapanen
Mikko Mustonen,Mikko,Mustonen,mikkomustonen,mikko.mustonen@example.com,mikko.mustonen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Malminkartanonkuja 537, Oulu",+358 170042959,Olavi Haapanen
Ulla Kangas,Ulla,Kangas,ullakangas,ulla.kangas@example.com,ulla.kangas@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Santerlanpolku 3, Oulu",+358103787001,Olavi Haapanen
Erik Nylund-Rintala,Erik,Nylund-Rintala,eriknylundrintala,erik.nylundrintala@example.com,erik.nylundrintala@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Rantavarastonpolku 028, Oulu",0792737340,Olavi Haapanen
Jari Saarinen-Nuutinen,Jari,Saarinen-Nuutinen,jarisaarinennuutinen,jari.saarinennuutinen@example.com,jari.saarinennuutinen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Veropellonbulevardi 26, Oulu",+358 72 7931576,Olavi Haapanen
Henry Nuutinen,Henry,Nuutinen,henrynuutinen,henry.nuutinen@example.com,henry.nuutinen@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Gunnel Nymanin katu 5, Oulu",0923678300,Olavi Haapanen
Veikko Karjalainen-Mäki,Veikko,Karjalainen-Mäki,veikkokarjalainenmaki,veikko.karjalainenmaki@example.com,veikko.karjalainenmaki@example.com,Oulu,Ohjelmistokehitys,Ohjelmistokehittäjä,"Saparonkuja 6, Oulu",+358 81 8518184,Olavi Haapanen
Arttu Suominen,Arttu,Suominen,arttusuominen,arttu.suominen@example.com,arttu.suominen@example.com,Oulu,Projektinhallinta,Projektipäällikkö,"Jättiläisenbulevardi 7, Oulu",+358441608329,Jenni Järvenpää
Juhani Autio-Seppälä,Juhani,Autio-Seppälä,juhaniautioseppala,juhani.autioseppala@example.com,juhani.autioseppala@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Vaakalinnuntie 9, Oulu",(+358) 205476006,Arttu Suominen
Mirjam Jokinen-Häkkinen,Mirjam,Jokinen-Häkkinen,mirjamjokinenhakkinen,mirjam.jokinenhakkinen@example.com,mirjam.jokinenhakkinen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Elontie 884, Oulu",+358 348627823,Arttu Suominen
Kristian Kinnunen-Malinen,Kristian,Kinnunen-Malinen,kristiankinnunenmalinen,kristian.kinnunenmalinen@example.com,kristian.kinnunenmalinen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Wavulininpolku 0, Oulu",073 761 0800,Arttu Suominen
Pasi Jokinen,Pasi,Jokinen,pasijokinen,pasi.jokinen@example.com,pasi.jokinen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Bertel Jungin bulevardi 1, Oulu",+358322535668,Arttu Suominen
Marika Kettunen-Kähkönen,Marika,Kettunen-Kähkönen,marikakettunenkahkonen,marika.kettunenkahkonen@example.com,marika.kettunenkahkonen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Ahvenkoskenkuja 66, Oulu",052 164 9506,Arttu Suominen
Juhani Kinnunen-Suominen,Juhani,Kinnunen-Suominen,juhanikinnunensuominen,juhani.kinnunensuominen@example.com,juhani.kinnunensuominen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Haravakatu 5, Oulu",+358 01 3309667,Arttu Suominen
Juhani Kärkkäinen,Juhani,Kärkkäinen,juhanikarkkainen,juhani.karkkainen@example.com,juhani.karkkainen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Niittylänkatu 096, Oulu",+358 298193889,Arttu Suominen
Marjatta Väyrynen-Martikainen,Marjatta,Väyrynen-Martikainen,marjattavayrynenmartikainen,marjatta.vayrynenmartikainen@example.com,marjatta.vayrynenmartikainen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Salavapolku 9, Oulu",+358 763935651,Arttu Suominen
Antti Ollikainen,Antti,Ollikainen,anttiollikainen,antti.ollikainen@example.com,antti.ollikainen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Rukokuja 4, Oulu",+358115812426,Arttu Suominen
Mikael Tuominen,Mikael,Tuominen,mikaeltuominen,mikael.tuominen@example.com,mikael.tuominen@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Runoilijantie 889, Oulu",0873490777,Arttu Suominen
Virpi Korpela,Virpi,Korpela,virpikorpela,virpi.korpela@example.com,virpi.korpela@example.com,Oulu,Projektinhallinta,Projektikoordinaattori,"Porinkatu 93, Oulu",0579843212,Arttu Suominen
