username;firstname;lastname;initials;ou;city;zipcode;country;company;state;streetaddress;telephone;email;jobtitle;department;manager;password
khämäläinen;Keijo;Hämäläinen;KH;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;50972;Finland;ITKuntoon;Lahti;Runoilijanbulevardi 4;+358 44 4600899;khämäläinen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jparviainen;&wK+nT7Qa_3i
jkarhu;Jouko;Karhu;JK;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;42904;Finland;ITKuntoon;Lahti;Maasalonbulevardi 80;+358 40 4850892;jkarhu@itkuntoon.com;Kirjanpitäjä;Taloushallinto;jleino;Z(02lzpOz$Y$
voinonen;Vesa;Oinonen;VO;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;01341;Finland;ITKuntoon;Lahti;Veräjämäenpolku 4;+358 45 9611213;voinonen@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;hkarttunen;5FMzTg_E^U47
tkallio;Tellervo;Kallio;TK;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;23898;Finland;ITKuntoon;Lahti;Yrttimaanpolku 70;+358 41 1844629;tkallio@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;ttervo;)9QUFahiurU2
jpuustinen;Johanna;Puustinen;JP;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;13782;Finland;ITKuntoon;Lahti;Orvokkibulevardi 04;+358 40 2737761;jpuustinen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;jpulkkinen;g8NI3@Fkzn+0
shänninen;Susanna;Hänninen;SH;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;78827;Finland;ITKuntoon;Kotka;Winqvistintie 79;+358 45 7802193;shänninen@itkuntoon.com;Support Specialist;Asiakastuki;tpelkonen;XIe6KnVw^Xaz
vparkkinen;Veijo;Parkkinen;VP;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;83444;Finland;ITKuntoon;Lahti;Edelfeltintie 2;+358 50 9642515;vparkkinen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jkarhu;(2FerFH0$lt%
jhyvärinen;Juhani;Hyvärinen;JH;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;64435;Finland;ITKuntoon;Kotka;Nervanderinkuja 41;+358 45 6477053;jhyvärinen@itkuntoon.com;IT-suojauksen analyytikko;Tietoturva;imäki;(ge71aKbU+S_
paaltonen;Päivi;Aaltonen;PA;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;35884;Finland;ITKuntoon;Oulu;Edelfeltinpolku 9;+358 50 7680255;paaltonen@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;hkolehmainen;&m7F$k^Yw_0i
akemppainen;Alisa;Kemppainen;AK;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;86621;Finland;ITKuntoon;Oulu;Uskalikontie 555;+358 45 7293298;akemppainen@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;jjaatinen;4)98dFvv!IGm
mmattila;Marko;Mattila;MM;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;54980;Finland;ITKuntoon;Lahti;Eduskuntapolku 8;+358 50 8431211;mmattila@itkuntoon.com;Talouspäällikkö;Taloushallinto;kvainio;vMdwqa$qy%a6
vlaakso;Valtteri;Laakso;VL;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;79476;Finland;ITKuntoon;Oulu;Agroksentie 544;+358 41 4971465;vlaakso@itkuntoon.com;Projektipäällikkö;Projektinhallinta;pojala;@s7A^6@e!!B5
kvirtanen;Kalervo;Virtanen;KV;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;67221;Finland;ITKuntoon;Oulu;Döbelnintie 73;+358 40 9571765;kvirtanen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;mjalonen;EN$0EaOigHA4
jandersson;Juhani;Andersson;JA;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;14515;Finland;ITKuntoon;Oulu;Rapakivenbulevardi 1;+358 50 2711535;jandersson@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;jhyvärinen;o)PR@w#9Kl2s
aheikkinen;Aurora;Heikkinen;AH;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;78100;Finland;ITKuntoon;Oulu;Betonitie 97;+358 45 3017015;aheikkinen@itkuntoon.com;Ohjelmistokehittäjä;Ohjelmistokehitys;jpulkkinen;1(@8D$Rfw$t%
pkoponen;Pentti;Koponen;PK;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;55368;Finland;ITKuntoon;Kotka;Franzéninkuja 33;+358 45 6213024;pkoponen@itkuntoon.com;Verkkoylläpitäjä;Verkkoylläpito;aseppälä;cAgJJyxfn5A&
jholappa;Juhani;Holappa;JH;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;75690;Finland;ITKuntoon;Oulu;Otermankatu 205;+358 50 3112238;jholappa@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;jhyvärinen;27i0DD(u7^4+
ksalonen;Kati;Salonen;KS;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;83501;Finland;ITKuntoon;Lahti;Lukkarimäentie 89;+358 44 7934972;ksalonen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;jperälä;A1SI*rU4)S5q
elahti;Esteri;Lahti;EL;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;92797;Finland;ITKuntoon;Kotka;Lepolanbulevardi 281;+358 40 4019652;elahti@itkuntoon.com;Asiakaspalvelija;Asiakastuki;voinonen;wd1Gsmd3#tlF
vlehtola;Veera;Lehtola;VL;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;69645;Finland;ITKuntoon;Oulu;Bertel Jungin kuja 4;+358 50 2558308;vlehtola@itkuntoon.com;Projektipäällikkö;Projektinhallinta;hniemi;+Fz1#ANca8DJ
tvuorinen;Tapio;Vuorinen;TV;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;04525;Finland;ITKuntoon;Oulu;Edelfeltinkuja 038;+358 50 2823395;tvuorinen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;tkarjalainen;1*NiQLgi(DgO
priikonen;Pia;Riikonen;PR;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;75376;Finland;ITKuntoon;Oulu;Biologintie 6;+358 50 5665506;priikonen@itkuntoon.com;Innovaatioasiantuntija;Tuotekehitys;jtaipale;$4ZgTjzXV2gr
tsimola;Tapani;Simola;TS;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;63348;Finland;ITKuntoon;Kotka;Urheilupolku 441;+358 44 4106939;tsimola@itkuntoon.com;Asiakaspalvelija;Asiakastuki;atiihonen;@QIQ78woE2nl
jmiettinen;Johanna;Miettinen;JM;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;70601;Finland;ITKuntoon;Lahti;Fredrikintie 53;+358 45 9489675;jmiettinen@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;mräisänen;abBiWGj)#Z(7
haho;Hannele;Aho;HA;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;30034;Finland;ITKuntoon;Kotka;Maneesikuja 4;+358 40 6088254;haho@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;hniemi;###4KuglRp0c
plilja;Pekka;Lilja;PL;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;83662;Finland;ITKuntoon;Lahti;Salakkakuja 385;+358 44 7446953;plilja@itkuntoon.com;IT-tukihenkilö;IT-Tuki;periksson;Pua1Whn5Y6R%
mrantala;Maija;Rantala;MR;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;15035;Finland;ITKuntoon;Lahti;Osmonpolku 1;+358 50 3210499;mrantala@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;haho;(reEl0(34%7b
pnevalainen;Petri;Nevalainen;PN;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;07289;Finland;ITKuntoon;Kotka;Uunilinnunpolku 2;+358 44 6740697;pnevalainen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;opelkonen;r#6T0GNhdYnw
kkanerva;Kaisa;Kanerva;KK;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;03593;Finland;ITKuntoon;Kotka;Taavetti Laitisen tie 35;+358 40 1677242;kkanerva@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;kmäkelä;a35Eh6cS@oEA
praatikainen;Paula;Raatikainen;PR;OU=Asiakastuki,OU=Kotka,DC=tahvanainen,DC=local;Kotka;91679;Finland;ITKuntoon;Kotka;Nordenskiöldinpolku 873;+358 50 1430941;praatikainen@itkuntoon.com;Asiakaspalvelija;Asiakastuki;pnevalainen;*fU6y#t%05Xn
mhalonen;Maria;Halonen;MH;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;18035;Finland;ITKuntoon;Oulu;Katajaharjuntie 818;+358 50 2283978;mhalonen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;jtaipale;w+s$Yys*5jg7
apuhakka;Anna-Liisa;Puhakka;AP;OU=Tietoturva,OU=Kotka,DC=tahvanainen,DC=local;Kotka;54537;Finland;ITKuntoon;Kotka;Uudenkaupunginpolku 95;+358 40 7472539;apuhakka@itkuntoon.com;Tietoturva-asiantuntija;Tietoturva;lsihvonen;G!KC@s#B*7UM
slehtonen;Sonja;Lehtonen;SL;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;59942;Finland;ITKuntoon;Lahti;Yrttimaanbulevardi 0;+358 50 9290345;slehtonen@itkuntoon.com;IT-tukihenkilö;IT-Tuki;tkarjalainen;fQ1^Fgy)3gzI
plaukkanen;Pekka;Laukkanen;PL;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;31817;Finland;ITKuntoon;Kotka;Ilkantie 28;+358 50 1593084;plaukkanen@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;mmattila;)E+$6!UmdbHa
rheinonen;Reijo;Heinonen;RH;OU=Taloushallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;31598;Finland;ITKuntoon;Lahti;Rukopolku 5;+358 41 4566752;rheinonen@itkuntoon.com;Kirjanpitäjä;Taloushallinto;aheikkinen;dy29KmdMb7(f
mkemppainen;Mirja;Kemppainen;MK;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;99320;Finland;ITKuntoon;Lahti;Runoilijantie 111;+358 41 7884679;mkemppainen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;alindholm;D3vaaV3n&it*
jahonen;Jonna;Ahonen;JA;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;21138;Finland;ITKuntoon;Oulu;Gyldéninkatu 3;+358 50 8620564;jahonen@itkuntoon.com;Scrum Master;Projektinhallinta;ttervo;)!76xJz0zq_7
mlindroos;Matti;Lindroos;ML;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;47575;Finland;ITKuntoon;Lahti;Fagottikatu 8;+358 40 4392946;mlindroos@itkuntoon.com;Toimitusjohtaja;Johto;jleino;)#4KgGmc0K9t
mkoivisto;Maria;Koivisto;MK;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;49785;Finland;ITKuntoon;Lahti;Gneissipolku 4;+358 40 5139830;mkoivisto@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;jmäättä;+2QbK_Vnl1Gx
tleppänen;Timo;Leppänen;TL;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;66195;Finland;ITKuntoon;Kotka;Louhenkatu 211;+358 41 7401204;tleppänen@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;apuhakka;+8tUrX8t8GpI
aryynänen;Artturi;Ryynänen;AR;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;74532;Finland;ITKuntoon;Oulu;Usvapolku 2;+358 45 6319102;aryynänen@itkuntoon.com;Scrum Master;Projektinhallinta;vparkkinen;^%b4Z^jZg1Bw
nmustonen;Nea;Mustonen;NM;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;52965;Finland;ITKuntoon;Oulu;Porekuja 3;+358 50 9749854;nmustonen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;jheikkilä;#uX+IRyqR2qs
skallio;Sinikka;Kallio;SK;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;51177;Finland;ITKuntoon;Kotka;Haahkakuja 33;+358 45 2057828;skallio@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;hkokkonen;)#AFkJtzU%H4
mpehkonen;Maria;Pehkonen;MP;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;63349;Finland;ITKuntoon;Lahti;Uunisepänkuja 048;+358 40 5284673;mpehkonen@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;jpuustinen;+C2lLt^U^dWT
mheikkinen;Martti;Heikkinen;MH;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;27181;Finland;ITKuntoon;Oulu;Purjetuulenpolku 56;+358 50 4351335;mheikkinen@itkuntoon.com;Full Stack Developer;Ohjelmistokehitys;rmäättä;!T6Tt9!v0AdA
ajärvinen;Ari;Järvinen;AJ;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;44513;Finland;ITKuntoon;Oulu;Capellan puistokatu 60;+358 45 6655637;ajärvinen@itkuntoon.com;Ohjelmistokehittäjä;Ohjelmistokehitys;eriihimäki;#RYZLQCA37wc
aheikkilä;Arto;Heikkilä;AH;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;77407;Finland;ITKuntoon;Oulu;Wecksellinkatu 168;+358 44 8105215;aheikkilä@itkuntoon.com;Scrum Master;Projektinhallinta;mmanninen;f*n$2cYtKyu6
tsavolainen;Tapani;Savolainen;TS;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;78002;Finland;ITKuntoon;Oulu;Rukkilantie 88;+358 50 3700899;tsavolainen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;mhalonen;#yTZkSBY59o2
apartanen;Anniina;Partanen;AP;OU=Ohjelmistokehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;50867;Finland;ITKuntoon;Oulu;Oravakatu 68;+358 40 3565504;apartanen@itkuntoon.com;Ohjelmistokehittäjä;Ohjelmistokehitys;mturpeinen;pJKCJ_iA(a5Y
rhäkkinen;Raija;Häkkinen;RH;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;51773;Finland;ITKuntoon;Oulu;Bertel Jungin katu 103;+358 50 4540724;rhäkkinen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;lsihvonen;i2I9NEZxP$$j
tmäkinen;Teemu;Mäkinen;TM;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;46932;Finland;ITKuntoon;Lahti;Tuulilasinpolku 020;+358 45 7003833;tmäkinen@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;tsavolainen;)k_8leZ5Rb3J
ahämäläinen;Anneli;Hämäläinen;AH;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;90959;Finland;ITKuntoon;Oulu;Järkälekuja 6;+358 45 7530063;ahämäläinen@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;periksson;to7Ujl+p2QC$
plehto;Pekka;Lehto;PL;OU=Johto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;28774;Finland;ITKuntoon;Lahti;Tukkisillantie 5;+358 50 3439519;plehto@itkuntoon.com;Operatiivinen johtaja;Johto;kvirtanen;&HC7b&KaVB)d
msilvennoinen;Marjatta;Silvennoinen;MS;OU=Projektinhallinta,OU=Oulu,DC=tahvanainen,DC=local;Oulu;22006;Finland;ITKuntoon;Oulu;Ahvenkoskenpolku 3;+358 44 7192205;msilvennoinen@itkuntoon.com;Projektipäällikkö;Projektinhallinta;haho;!24obNmN8Pc+
esaarela;Eino;Saarela;ES;OU=Tuotekehitys,OU=Oulu,DC=tahvanainen,DC=local;Oulu;80714;Finland;ITKuntoon;Oulu;Runoilijankatu 33;+358 41 2120498;esaarela@itkuntoon.com;Tuotekehittäjä;Tuotekehitys;ikoskela;_4gRhOlmuSOw
oholm;Olli;Holm;OH;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;83903;Finland;ITKuntoon;Lahti;Saparonbulevardi 689;+358 50 6128844;oholm@itkuntoon.com;HR-päällikkö;Henkilöstöhallinto;kleppänen;y7JgIzOu(5t5
jautio;Juhani;Autio;JA;OU=Henkilöstöhallinto,OU=Lahti,DC=tahvanainen,DC=local;Lahti;52138;Finland;ITKuntoon;Lahti;Fallpakanbulevardi 0;+358 50 9036357;jautio@itkuntoon.com;HR-assistentti;Henkilöstöhallinto;shannula;@PWsZslm5(5B
mhirvonen;Mikael;Hirvonen;MH;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;11089;Finland;ITKuntoon;Lahti;Tuohikoivunpolku 33;+358 45 1783325;mhirvonen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;slehto;k!8ZtW1k%J8F
slaurila;Sara;Laurila;SL;OU=Verkkoylläpito,OU=Kotka,DC=tahvanainen,DC=local;Kotka;46307;Finland;ITKuntoon;Kotka;Lautamiehenkatu 8;+358 50 1958577;slaurila@itkuntoon.com;Järjestelmänvalvoja;Verkkoylläpito;mjalonen;(H3YbA9XKr(w
jtuominen;Juuso;Tuominen;JT;OU=IT-Tuki,OU=Lahti,DC=tahvanainen,DC=local;Lahti;99942;Finland;ITKuntoon;Lahti;Osmonkuja 85;+358 44 1928784;jtuominen@itkuntoon.com;Järjestelmäasiantuntija;IT-Tuki;shannula;HyO1eLRb@1uB
